Ion WL_rest-air_micron No. _lines_in_blend log_gf  Excitation_Min_eV Line_Strength_5000K Line_Strength_10,000
He_I 1.0830 3 -0.047 19.82096 15.1 6.0
He_I 2.0581 1 -0.424 20.61718 1.000 1.000
He_I 0.7065 3 -0.460 20.96551 0.410 0.614
C_I 1.0693 7 0.348 7.48830 1.000 1.000
C_I 0.9093 2 0.142 7.48830 0.622 0.622
C_I 0.9406 1 0.225 7.68529 0.477 0.599
C_I 0.9658 1 -0.264 7.48830 0.244 0.244
C_I 1.4543 1 -0.110 7.68529 0.221 0.277
C_I 1.1754 2 0.661 8.64774 0.139 0.535
C_I 0.8335 1 -0.420 7.68529 0.108 0.136
C_I 1.1330 1 0.280 8.53767 0.075 0.253
C_II 0.6580 2 0.118 14.44980 88,393 253
C_II 0.7235 3 0.330 16.33422 1,815 46.3
C_II 1.8905 2 0.258 19.49586 1.000 0.959
C_II 1.7846 3 0.550 20.15184 0.427 0.878
C_II 0.9903 3 1.010 20.95206 0.192 1.000
C_II 0.9230 3 0.620 20.84618 0.100 0.461
O I 0.7773 3 0.324 9.14671 1.000 1.000
O I 0.8446 3 0.170 9.52201 0.294 0.454
O I 0.9264 9 0.690 10.74166 0.057 0.365
O I 1.1290 9 0.500 10.98960 0.021 0.177
O I 0.7990 6 0.280 10.98960 0.013 0.106
O I 1.3165 3 -0.095 10.98960 0.005 0.045
O II 0.6695 2 -0.594 23.44307 2,155 97.6
O II 2.1085 2 -1.690 25.66290 1.000 0.595
O II 1.3811 3 -1.730 25.66290 0.912 0.543
O II 1.4008 2 0.530 29.62095 0.017 1.000
O II 0.7114 3 -0.170 29.07061 0.012 0.378
O II 1.3029 2 0.460 29.82223 0.009 0.674
O II 1.2500 1 0.210 29.82223 0.005 0.379
O II 1.1667 2 0.870 30.50576 0.005 0.784
Mg I 0.8807 1 -0.137 4.34610 1.000 0.807
Mg I 1.1828 1 -0.290 4.34610 0.703 0.568
Mg I 1.5033 3 0.340 5.10817 0.511 1.000
Mg I 1.7109 1 0.140 5.39409 0.166 0.453
Mg I 1.4878 9 0.660 5.94632 0.153 0.790
Mg I 1.2083 4 0.450 5.75363 0.147 0.609
Mg II 0.9227 2 0.270 8.65529 1.000 1.000
Mg II 1.0927 3 0.020 8.86425 0.346 0.441
Mg II 0.7890 3 0.650 10.00000 0.106 0.504
Mg II 0.8228 2 0.030 10.00000 0.025 0.121
Mg II 1.0092 3 1.020 11.63047 0.006 0.178
Mg II 0.9632 3 0.660 11.56982 0.003 0.083
Mg II 2.1369 1 0.390 11.50533 0.002 0.048
Mg II 1.6787 3 0.730 12.08542 0.001 0.054
Si I 1.2032 1 0.440 4.95413 1.000 1.000
Si I 1.0827 1 0.220 4.95413 0.603 0.603
Si I 1.0585 1 -0.020 4.95413 0.347 0.347
Si I 1.5888 1 -0.030 5.08269 0.251 0.292
Si II 0.6355 2 0.297 8.12157 10,126 49.6
Si II 1.6930 2 0.350 12.14781 1.000 0.524
Si II 0.9413 3 0.980 12.84018 0.855 1.000
Si II 0.7849 3 0.490 12.52627 0.573 0.466
Si II 1.1737 3 0.620 12.88100 0.340 0.416
Si II 1.3681 2 0.130 12.88100 0.110 0.135
Si II 1.7183 3 0.890 14.10541 0.037 0.187
Si II 1.1311 3 -0.460 12.84018 0.031 0.036
Si III 0.9324 1 -0.120 20.55363 7,223 41.6
Si III 1.0526 1 -2.950 20.55363 10.7 0.062
Si III 1.2523 3 0.500 24.99684 1.000 1.000
Si III 0.7465 6 0.360 24.99684 0.724 0.724
Si III 1.2601 3 0.160 24.99662 0.457 0.457
Si III 0.9800 1 0.230 25.33550 0.245 0.363
Si III 1.1341 3 0.430 25.56430 0.228 0.441
S I 0.9223 3 0.420 6.52494 1.000 1.000
S I 1.0457 3 0.260 6.86061 0.317 0.469
S I 1.8940 6 0.450 8.04620 0.031 0.183
S I 2.2694 3 0.240 7.87043 0.029 0.139
S I 1.3809 3 0.110 7.87043 0.022 0.103
S II 0.8315 1 -0.470 14.06839 1.000 1.000
S II 0.7967 1 -0.820 14.00342 0.519 0.482
S II 0.7590 1 -0.880 14.23489 0.264 0.321
S II 0.8855 2 -1.110 14.16002 0.185 0.206
S II 1.4501 2 -0.216 16.59204 0.005 0.096
S II 1.3529 1 -0.425 16.53575 0.004 0.063
Ca I 0.6149 3 0.100 1.89906 5.1 2.0
Ca I 0.7148 1 0.208 2.70919 1.000 1.000
Ca I 1.9753 4 -0.831 1.89906 0.599 0.234
Ca I 0.7326 1 0.073 2.93271 0.436 0.565
Ca I 1.9453 1 -1.094 1.88593 0.337 0.130
Ca II 0.8538 2 -0.362 1.70005 13,944 40.3
Ca II 0.8662 1 -0.623 1.69252 7,780 22.3
Ca II 1.1839 1 0.300 6.46831 1.000 0.731
Ca II 0.8921 3 0.729 7.05003 0.696 1.000
Ca II 1.1950 1 0.000 6.46831 0.501 0.367
Ca II 0.8249 2 0.621 7.51535 0.184 0.454
Ca II 0.8202 1 0.315 7.50564 0.093 0.227
Ca II 0.9931 1 0.072 7.51535 0.052 0.128
Mn I 1.2900 1 -1.059 2.11436 1.000 0.541
Mn I 1.3310 2 -1.360 2.14284 0.468 0.262
Mn I 1.3630 3 -1.516 2.16386 0.311 0.178
Mn I 1.3859 2 -1.638 2.17836 0.227 0.133
Mn I 1.5184 2 0.606 4.88919 0.074 1.000
Mn I 0.8740 3 -0.055 4.43521 0.046 0.370
Mn I 1.5263 1 0.379 4.88919 0.044 0.593
Mn I 0.7309 3 -0.084 4.43521 0.043 0.346
Mn II 0.7414 3 -2.202 3.70608 1.000 1.000
Mn II 0.7342 2 -2.713 3.70979 0.306 0.307
Mn II 0.9447 1 -2.389 4.06545 0.282 0.428
Mn II 0.9388 2 -2.554 4.07405 0.189 0.290
Mn II 0.8695 1 0.577 9.24489 0.002 0.971
Mn II 0.8769 1 0.491 9.24489 0.001 0.797
Mn II 0.8820 1 0.347 9.24489 0.001 0.572
Mn II 0.9486 2 0.491 9.46988 0.001 0.614
Fe I 0.8677 2 -1.212 2.17609 1.000 0.417
Fe I 0.8824 1 -1.364 2.19801 0.670 0.286
Fe I 1.1973 1 -1.476 2.17609 0.545 0.227
Fe I 0.8388 1 -1.493 2.17609 0.524 0.218
Fe I 0.7511 5 0.107 4.17798 0.200 0.851
Fe I 0.8220 2 0.249 4.32039 0.199 1.000
Fe I 0.7196 3 -0.120 4.10365 0.141 0.550
Fe I 0.7941 2 0.154 4.38676 0.137 0.744
Fe I 0.7495 2 -0.102 4.22065 0.112 0.500
Fe I 0.7999 1 0.048 4.37164 0.111 0.593
Fe II 0.7712 1 -2.543 3.90368 1.000 1.000
Fe II 0.7462 1 -2.734 3.89187 0.662 0.653
Fe II 0.9998 1 -1.826 5.48450 0.133 0.832
Fe II 1.0500 2 -1.997 5.54914 0.077 0.521
Fe II 1.0863 1 -2.121 5.58957 0.053 0.374
Fe II 1.1126 1 -2.236 5.61560 0.038 0.278
Fe II 0.7515 1 -2.362 5.82361 0.018 0.163
Fe II 0.9550 1 -2.027 6.21915 0.015 0.223
Fe III 0.7261 1 -2.910 13.13443 1.000 0.354
Fe III 0.7265 1 -1.708 14.62496 0.501 1.000
Fe III 0.9124 1 -2.577 14.62496 0.068 0.135
Fe III 1.6722 1 0.235 22.87010 0.000 0.006
Fe III 0.7456 1 -1.905 20.88295 0.000 0.000
Fe III 1.6672 1 0.057 22.86637 0.000 0.004
Fe III 1.2039 2 0.663 23.61137 0.000 0.007
Fe III 1.2786 1 0.723 23.67243 0.000 0.007
Co I 0.7085 1 -1.018 1.88271 1.000 0.589
Co I 0.7053 1 -1.440 1.95586 0.319 0.205
Co I 0.8098 4 0.290 4.02115 0.142 1.000
Co I 0.8027 6 0.116 4.14628 0.071 0.579
Co I 0.8374 2 -0.040 4.07216 0.059 0.441
Co II 1.7772 1 -2.087 5.04595 1.000 0.736
Co II 1.7462 1 -2.284 5.12265 0.532 0.428
Co II 2.2205 1 -2.374 5.04595 0.516 0.380
Co II 2.4596 1 -2.416 5.12265 0.392 0.316
Co II 2.3613 1 -2.491 5.17524 0.292 0.250
Co II 1.6064 1 -2.568 5.12265 0.276 0.223
Co II 1.5759 1 -2.725 5.04595 0.230 0.169
Co II 1.6361 1 -2.625 5.17524 0.215 0.184
Co II 1.7239 1 -2.649 5.17524 0.203 0.174
Co II 2.2497 1 -2.697 5.20879 0.168 0.150
Co II 2.1347 1 -2.906 5.04595 0.152 0.112
Co II 0.8342 2 0.753 10.41714 0.003 1.000
Co II 0.8737 1 0.663 10.41714 0.002 0.813
